slug,name,asin,affiliateUrl,status
"drop-stop-car-seat-gap","Drop Stop Car Seat Gap Filler (Set of 2 + Pad & Light)",B00BYH6C1E,"https://www.amazon.com/dp/B00BYH6C1E?tag=blackboxsuppl-20",affiliate-live
"dewalt-20v-max-corded-cordless","DeWalt 20V MAX Corded/Cordless Inflator DCC020IB (Bare Tool)",B07H39S9JQ,"https://www.amazon.com/dp/B07H39S9JQ?tag=blackboxsuppl-20",affiliate-live
"astroai-portable-air-compressor-tire","AstroAI Portable Air Compressor Tire Inflator (12V DC)",B07KT11VBL,"https://www.amazon.com/dp/B07KT11VBL?tag=blackboxsuppl-20",affiliate-live
"ancel-ba101-12v-car-battery","ANCEL BA101 12V Car Battery & Alternator Tester",B01M0ARG3X,"https://www.amazon.com/dp/B01M0ARG3X?tag=blackboxsuppl-20",affiliate-live
"vantrue-n4","Vantrue N4 (3CH Front + Cabin + Rear)",B083V6K8RH,"https://www.amazon.com/dp/B083V6K8RH?tag=blackboxsuppl-20",affiliate-live
"nebo-slyde-king-2k-flashlight","NEBO SLYDE King 2K Flashlight & Work Light",B0CZ3VN95T,"https://www.amazon.com/dp/B0CZ3VN95T?tag=blackboxsuppl-20",affiliate-live
"astroai-l7-compact-cordless-tire","AstroAI L7 Compact Cordless Tire Inflator (150 PSI, under 1 lb)",B0CS3B7MD8,"https://www.amazon.com/dp/B0CS3B7MD8?tag=blackboxsuppl-20",affiliate-live
"gooloo-gp4000-4000a-peak-lithium","GOOLOO GP4000 4000A Peak Lithium Jump Starter",B09HJH1S41,"https://www.amazon.com/dp/B09HJH1S41?tag=blackboxsuppl-20",affiliate-live
"anker-prime-power-bank","Anker Prime Power Bank (27,650mAh, 250W)",B0BYP2F3SG,"https://www.amazon.com/dp/B0BYP2F3SG?tag=blackboxsuppl-20",affiliate-live
"nebo-big-larry-3-rechargeable","NEBO Big Larry 3 Rechargeable Magnetic Work Light",B08Z3CV7MT,"https://www.amazon.com/dp/B08Z3CV7MT?tag=blackboxsuppl-20",affiliate-live
"rhino-usa-recovery-tow-strap","Rhino USA Recovery Tow Strap (3 in x 20 ft, 31,518 lb)",B01M1SMPOS,"https://www.amazon.com/dp/B01M1SMPOS?tag=blackboxsuppl-20",affiliate-live
"lamicall-car-headrest-tablet-holder","Lamicall Car Headrest Tablet Holder (3-in-1 Extension Arm)",B0BRRPP5KH,"https://www.amazon.com/dp/B0BRRPP5KH?tag=blackboxsuppl-20",affiliate-live
"redtiger-f7n","REDTIGER F7N (4K Front + Rear)",B08TT1RRGP,"https://www.amazon.com/dp/B08TT1RRGP?tag=blackboxsuppl-20",affiliate-live
"dewalt-dxaeps14-2000-peak-amp","DeWalt DXAEPS14 2000-Peak-Amp Jump Starter / Power Station",B0CL8RYBKX,"https://www.amazon.com/dp/B0CL8RYBKX?tag=blackboxsuppl-20",affiliate-live
"fanttik-slim-v8-apex-cordless","Fanttik Slim V8 APEX Cordless Car Vacuum",B0CQYTNNW7,"https://www.amazon.com/dp/B0CQYTNNW7?tag=blackboxsuppl-20",affiliate-live
"drive-auto-car-trash-can","Drive Auto Car Trash Can — Collapsible, Leakproof (Large)",B08CNJSXHK,"https://www.amazon.com/dp/B08CNJSXHK?tag=blackboxsuppl-20",affiliate-live
"70mai-dash-cam-a810","70mai Dash Cam A810 (4K, STARVIS 2)",B0CF966QVG,"https://www.amazon.com/dp/B0CF966QVG?tag=blackboxsuppl-20",affiliate-live
"noco-boost-xl-gb50-1500a","NOCO Boost XL GB50 1500A UltraSafe Lithium Jump Starter",B07MVY7K43,"https://www.amazon.com/dp/B07MVY7K43?tag=blackboxsuppl-20",affiliate-live
"anker-737-power-bank","Anker 737 Power Bank (PowerCore 24K, 140W)",B09VPHVT2Z,"https://www.amazon.com/dp/B09VPHVT2Z?tag=blackboxsuppl-20",affiliate-live
"first-aid-only-298-piece","First Aid Only 298-Piece All-Purpose First Aid Kit",B0FNYD1VQK,"https://www.amazon.com/dp/B0FNYD1VQK?tag=blackboxsuppl-20",affiliate-live
"avid-power-20v-cordless-impact","AVID POWER 20V Cordless Impact Wrench 1/2in Kit (330 ft-lbs)",B09G992B9C,"https://www.amazon.com/dp/B09G992B9C?tag=blackboxsuppl-20",affiliate-live
"garmin-dash-cam-mini-2","Garmin Dash Cam Mini 2",B0931YZ82P,"https://www.amazon.com/dp/B0931YZ82P?tag=blackboxsuppl-20",affiliate-live
"vantrue-e1-pro-4k-mini","Vantrue E1 Pro 4K Mini",B0DSKXJV3H,"https://www.amazon.com/dp/B0DSKXJV3H?tag=blackboxsuppl-20",affiliate-live
"cartman-reflective-warning-triangle-kit","CARTMAN Reflective Warning Triangle Kit (3-Pack, DOT Approved)",B00VA1F1TS,"https://www.amazon.com/dp/B00VA1F1TS?tag=blackboxsuppl-20",affiliate-live
"jackery-solarsaga-100w-portable-solar","Jackery SolarSaga 100W Portable Solar Panel",B0D5CCY5Y2,"https://www.amazon.com/dp/B0D5CCY5Y2?tag=blackboxsuppl-20",affiliate-live
"hoto-portable-tire-inflator-pro","HOTO Portable Tire Inflator Pro (7500mAh Cordless)",B0CQ1RCJV7,"https://www.amazon.com/dp/B0CQ1RCJV7?tag=blackboxsuppl-20",affiliate-live
"avapow-6000a-car-battery-jump","AVAPOW 6000A Car Battery Jump Starter",B08NPGCFSG,"https://www.amazon.com/dp/B08NPGCFSG?tag=blackboxsuppl-20",affiliate-live
"anker-nano-car-charger","Anker Nano Car Charger (167.5W, 3 Ports)",B0CZ7BL16W,"https://www.amazon.com/dp/B0CZ7BL16W?tag=blackboxsuppl-20",affiliate-live
"70mai-portable-tire-inflator-tp05","70mai Portable Tire Inflator TP05 (150 PSI Cordless)",B0BRZRZW97,"https://www.amazon.com/dp/B0BRZRZW97?tag=blackboxsuppl-20",affiliate-live
"gooloo-gp2000-2000a-compact-lithium","GOOLOO GP2000 2000A Compact Lithium Jump Starter",B0C5M36W2G,"https://www.amazon.com/dp/B0C5M36W2G?tag=blackboxsuppl-20",affiliate-live
"swiss-safe-emergency-mylar-thermal","Swiss Safe Emergency Mylar Thermal Blanket (4-Pack)",B01LZN0KGB,"https://www.amazon.com/dp/B01LZN0KGB?tag=blackboxsuppl-20",affiliate-live
"vaclife-cordless-tire-inflator-vl798","VacLife Cordless Tire Inflator VL798 (150 PSI)",B0BY1F9B2C,"https://www.amazon.com/dp/B0BY1F9B2C?tag=blackboxsuppl-20",affiliate-live
"ryobi-one-18v-cordless-high","Ryobi ONE+ 18V Cordless High-Pressure Inflator P737D (Tool Only)",B0821S1TZG,"https://www.amazon.com/dp/B0821S1TZG?tag=blackboxsuppl-20",affiliate-live
"baseus-blade-100w-20-000mah","Baseus Blade 100W 20,000mAh Laptop Power Bank",B0DK8V9LSV,"https://www.amazon.com/dp/B0DK8V9LSV?tag=blackboxsuppl-20",affiliate-live
"maxsa-escaper-buddy-traction-mats","MAXSA Escaper Buddy Traction Mats (2-Pack)",B00AV2HONS,"https://www.amazon.com/dp/B00AV2HONS?tag=blackboxsuppl-20",affiliate-live
"autowit-supercap-2-batteryless-supercapacitor","Autowit SuperCap 2 Batteryless Supercapacitor Jump Starter",B08LGL6339,"https://www.amazon.com/dp/B08LGL6339?tag=blackboxsuppl-20",affiliate-live
"epauto-12v-dc-portable-air","EPAuto 12V DC Portable Air Compressor Pump (Corded Value Pick)",B01L9WSTEG,"https://www.amazon.com/dp/B01L9WSTEG?tag=blackboxsuppl-20",affiliate-live
"bestek-300w-car-power-inverter","BESTEK 300W Car Power Inverter (Dual AC + Dual USB)",B0191E8XWC,"https://www.amazon.com/dp/B0191E8XWC?tag=blackboxsuppl-20",affiliate-live
"swigzy-car-cup-holder-expander","Swigzy Car Cup Holder Expander Adapter (Stanley/Yeti/Hydro Flask)",B0752DZ1SB,"https://amzn.to/4xYA9Nc",affiliate-live
"invisible-glass-95161-reach-clean","Invisible Glass 95161 Reach & Clean Windshield Wand",B0017K69MA,"https://amzn.to/44DwK8S",affiliate-live
"cerakote-ceramic-headlight-restoration-kit","CERAKOTE Ceramic Headlight Restoration Kit (10 Wipe)",B084RQKLV8,"https://amzn.to/445PXQA",affiliate-live
"saucemoto-dip-clip","Saucemoto Dip Clip - In-Car Sauce Holder (2 Pack)",B07D1KW3PB,"https://amzn.to/4wnRkGs",affiliate-live
"folex-instant-carpet-spot-remover","FOLEX Instant Carpet Spot Remover (32 oz)",B0F2CT978P,"https://amzn.to/3QLqXeo",affiliate-live
"rightline-gear-moki-car-door","Rightline Gear Moki Car Door Step (Roof Access Latch Step)",B07JMTVP9N,"https://amzn.to/4xTGhGB",affiliate-live
